custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
230901,Adult 18+,Male,Arrested,Suspect,40.3806,-79.9797,Stolen,Shotgun,127605,960
231349,Adult 18+,Male,Arrested,Suspect,34.9432,-120.443,Stolen,Shotgun,127863,961
233012,Adult 18+,Male,Arrested,Suspect,42.9865,-71.458,Stolen,Shotgun,128818,967
233932,Adult 18+,Male,Arrested,Suspect,36.1447,-115.083,Stolen,Shotgun,129349,971
239992,Adult 18+,Male,Arrested,Suspect,39.7583,-89.6797,Stolen,Shotgun,132732,992
240687,Adult 18+,Male,Arrested,Suspect,42.2996,-71.083,Stolen,Shotgun,133139,995
246884,Adult 18+,Male,Arrested,Suspect,43.5008,-111.999,Stolen,Shotgun,136795,1017
248949,Adult 18+,Male,Arrested,Suspect,33.4852,-86.8981,Stolen,Shotgun,138014,1024
249858,Adult 18+,Male,Arrested,Suspect,42.709,-71.1647,Stolen,Shotgun,138561,1027
251184,Adult 18+,Male,Arrested,Suspect,38.1703,-92.6223,Stolen,Shotgun,139336,1031
352364,Adult 18+,Male,Arrested,Suspect,55.555,-133.097,Stolen,Shotgun,200134,1384
252764,Adult 18+,Male,Arrested,Suspect,33.9428,-78.7444,Stolen,Shotgun,140289,1037
259770,Adult 18+,Male,Arrested,Suspect,36.7279,-86.306,Stolen,Shotgun,144455,1060
261580,Adult 18+,Male,Arrested,Suspect,36.7614,-121.614,Stolen,Shotgun,145520,1066
263005,Adult 18+,Male,Arrested,Suspect,38.8384,-104.781,Stolen,Shotgun,146371,1071
398463,Adult 18+,Male,Arrested,Suspect,30.431,-84.2603,Stolen,Shotgun,228091,1558
266830,Adult 18+,Male,Arrested,Suspect,36.8429,-121.741,Stolen,Shotgun,148624,1085
272699,Adult 18+,Male,Arrested,Suspect,33.609,-101.927,Stolen,Shotgun,152091,1106
273117,Adult 18+,Male,Arrested,Suspect,35.9808,-95.8061,Stolen,Shotgun,152337,1108
321922,Adult 18+,Male,Arrested,Suspect,29.8289,-81.2718,Stolen,Shotgun,181579,1281
276527,Adult 18+,Male,Arrested,Suspect,47.4962,-94.8701,Stolen,Shotgun,154319,1119
278642,Adult 18+,Female,Arrested,Suspect,29.6807,-95.3812,Stolen,Shotgun,155576,1126
280859,Adult 18+,Male,Arrested,Suspect,42.2881,-71.1364,Stolen,Shotgun,156874,1134
281234,Adult 18+,Male,Arrested,Suspect,29.9784,-90.2206,Stolen,Shotgun,157093,1136
281479,Adult 18+,Male,Arrested,Suspect,28.6092,-81.4282,Stolen,Shotgun,157240,1136
282283,Adult 18+,Male,Arrested,Suspect,40.7272,-73.6325,Stolen,Shotgun,157705,1139
414542,Adult 18+,Male,Arrested,Suspect,42.0891,-72.5764,Stolen,Shotgun,238003,1622
282762,Adult 18+,Male,Arrested,Suspect,41.557,-90.5496,Stolen,Shotgun,157979,1141
282939,Adult 18+,Male,Arrested,Suspect,43.9726,-94.6195,Stolen,Shotgun,158086,1142
283630,Adult 18+,Male,Arrested,Suspect,41.0291,-85.1099,Stolen,Shotgun,158497,1144
284568,Teen 12-17,Male,Arrested,Suspect,36.7996,-76.0763,Stolen,Shotgun,159034,1147
286160,Adult 18+,Male,Arrested,Suspect,41.6612,-91.5302,Stolen,Shotgun,159981,1152
287015,Adult 18+,Male,Arrested,Suspect,42.0747,-88.1906,Stolen,Shotgun,160496,1156
291412,Adult 18+,Male,Arrested,Suspect,40.2111,-74.7619,Stolen,Shotgun,163069,1172
289092,Adult 18+,Female,Arrested,Suspect,34.8479,-92.2145,Stolen,Shotgun,161711,1163
291057,Adult 18+,Male,Arrested,Suspect,26.6213,-81.8716,Stolen,Shotgun,162869,1170
